parameter,n,h,d,b,k,w,signature_bytes,public_key_bytes,secret_key_bytes,keygen_us,sign_us,verify_us
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3279.07,82824.18,4213.18
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3365.19,83146.1,4158.51
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3250.9,82197.8,4255.19
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3260.89,82541.2,4134.16
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3275.37,82537.59,4126.56
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3278.68,82326.67,4168.57
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3264.71,82783.05,4268.92
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3300.58,82505.77,4183.84
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3264.19,82690.87,4157.22
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3296.52,82860.48,4152.25
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,131693.56,1572412.95,2192.66
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,139423.44,1666659.19,2349.3
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,142694.64,1688139.12,2350.84
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,142783.65,1695028.94,2340.52
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,142341.7,1584156.53,2308.5
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,133351.8,1593380.12,2141.23
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,131224.59,1548682.43,2124.26
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,132394.86,1549811.16,2137.34
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,131177.68,1551911.06,2190.59
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,131047.56,1550066.49,2158.06
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,131727.27,1549071.37,2196.53
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,131138.01,1548713.82,2246.8
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,132351.18,1549332.78,2157.47
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,131997.36,1548791.22,2145.24
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,131553.2,1549012.76,2153.85
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,131789.67,1552899.66,2131.25
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,130963.04,1545010.21,2157.9
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,130895.82,1549813.5,2149.85
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,132722.35,1557191.34,2178.57
